"SystemReplicate","Species","Behaviour","HostGroup","N","NID","Area","NYears","Response","Estimate","SE","t","R2","LinearLower","LinearUpper","Portion","Sig"
"KalahariMeerkats_HRO","Suricata suricatta","Indirect","Carnivore",2412,1357,2.11059191374106,19,"Strength",0.469975424760024,0.0341639816955556,13.7564593304171,0.135729967427515,0.402947926326243,0.537002923193806,"Last",1
"KenyanElephants_HRO","Loxodonta africana","Indirect","LargeHerbivore",77,55,10647.4372695617,2,"Strength",3.61813364227936,1.20777416226747,2.99570379572179,0.199541804062189,1.16865410924551,6.06761317531321,"First",1
"KenyanElephants_HRO","Loxodonta africana","Indirect","LargeHerbivore",77,55,10647.4372695617,2,"Strength",0.151458069107082,0.122836138472768,1.23300903944208,0.0384691122531413,-0.0972106927346727,0.400126830948836,"Last",0
"KielderVoles_HRO","Microtus agrestis","Indirect","SmallMammal",545,544,0.0282518748316966,6,"Strength",0.734543698115403,0.238800621360083,3.07597063161656,0.0351129641131265,0.26431422977421,1.2047731664566,"First",1
"KielderVoles_HRO","Microtus agrestis","Indirect","SmallMammal",545,544,0.0282518748316966,6,"Strength",-0.382645719066409,0.054615684084112,-7.00615080600488,0.158810575164221,-0.490191101250474,-0.275100336882343,"Last",1
"LiverpoolMice_HRO","Apodemus sylvaticus","Indirect","SmallMammal",243,243,0.0189077296108036,4,"Strength",-0.241164124000425,0.136956182498772,-1.76088526710057,0.0262548526770592,-0.512447963094795,0.030119715093946,"First",0
"LiverpoolMice_HRO","Apodemus sylvaticus","Indirect","SmallMammal",243,243,0.0189077296108036,4,"Strength",0.745680223444268,0.10575062161965,7.05130818167888,0.300028137367004,0.536227792488176,0.95513265440036,"Last",1
"MorayDolphins_HRO","Tursiops truncatus","Indirect","Cetacean",1061,224,744.775773810706,27,"Strength",1.13906001367806,0.165804568708985,6.86989521788931,0.0820511696663442,0.813342399358566,1.46477762799755,"First",1
"MorayDolphins_HRO","Tursiops truncatus","Indirect","Cetacean",1061,224,744.775773810706,27,"Strength",-0.0658003008146961,0.0445188803525067,-1.47803134970332,0.00410492292800435,-0.153255416802808,0.0216548151734159,"Last",0
"MultimammateMice_HRO","Mastomys natalensis","Indirect","SmallMammal",323,321,0.000234788798701299,20,"Strength",0.707032189861195,0.164218768458008,4.30542864558133,0.103825791444788,0.382716287852066,1.03134809187032,"First",1
"MultimammateMice_HRO","Mastomys natalensis","Indirect","SmallMammal",323,321,0.000234788798701299,20,"Strength",0.645247189171905,0.0794960687883487,8.1167182101774,0.291662783089492,0.488250278907865,0.802244099435946,"Last",1
"PalmyraSharks_HRO","Carcharhinus amblyrhynchos","Indirect","Shark",88,36,48.6558454492052,4,"Strength",0.494496874625542,0.253503221132035,1.95065322017344,0.0830704944701308,-0.0170933375465549,1.00608708679764,"First",0
"PalmyraSharks_HRO","Carcharhinus amblyrhynchos","Indirect","Shark",88,36,48.6558454492052,4,"Strength",0.142611555178337,0.224162262645265,0.636197875125924,0.00932496460464638,-0.309454731259628,0.594677841616303,"Last",0
"ReticulatedGiraffes_HRO","Giraffa camelopardalis","Indirect","LargeHerbivore",204,204,134.623199881823,1,"Strength",0.0454240334594929,0.142553382448286,0.318645778019132,0.00101432142589697,-0.237397817187101,0.328245884106087,"First",0
"ReticulatedGiraffes_HRO","Giraffa camelopardalis","Indirect","LargeHerbivore",204,204,134.623199881823,1,"Strength",1.29341872828883,0.15380925117819,8.40923883564315,0.411817110665103,0.988302548185265,1.59853490839239,"Last",1
"RumDeer_HRO","Cervus elaphus","Indirect","LargeHerbivore",8251,889,17.7771428571429,47,"Strength",0.853367968851427,0.0234419707152511,36.4034226992799,0.243192936703447,0.807409061977765,0.899326875725089,"First",1
"RumDeer_HRO","Cervus elaphus","Indirect","LargeHerbivore",8251,889,17.7771428571429,47,"Strength",0.493957935747761,0.0169467488214017,29.147651915626,0.17081954115989,0.460733167218065,0.527182704277458,"Last",1
"SerengetiLions_HRO","Panthera leo","Indirect","Carnivore",1478,1478,2778.9312567013,30,"Strength",0.91665892181003,0.0595664256532717,15.3888522226561,0.243184117754178,0.799718829258771,1.03359901436129,"First",1
"SerengetiLions_HRO","Panthera leo","Indirect","Carnivore",1478,1478,2778.9312567013,30,"Strength",0.399009739757295,0.0417185306006074,9.56432870508353,0.110282083239305,0.317108603295739,0.480910876218851,"Last",1
"SharkBayDolphins_HRO","Tursiops aduncus","Indirect","Cetacean",1257,328,306.226191158722,12,"Strength",0.600827150476084,0.0483472955649936,12.4273166359096,0.197886519410151,0.505884628199183,0.695769672752986,"First",1
"SharkBayDolphins_HRO","Tursiops aduncus","Indirect","Cetacean",1257,328,306.226191158722,12,"Strength",0.560379918727503,0.0589558929851923,9.50507049173611,0.125769920261548,0.444605363258653,0.676154474196354,"Last",1
"SilwoodMice_HRO","Apodemus sylvaticus","Indirect","SmallMammal",93,92,0.000176650312650313,2,"Strength",0.658237000222451,0.125687379150709,5.23709703130313,0.383988045927034,0.404930731765292,0.91154326867961,"First",1
"SilwoodMice_HRO","Apodemus sylvaticus","Indirect","SmallMammal",93,92,0.000176650312650313,2,"Strength",0.248830551120406,0.255580245433281,0.973590704158563,0.0201900252419548,-0.265625800082992,0.763286902323804,"Last",0
"SleepyLizards_HRO","Tiliqua rugosa","Indirect","Ectotherm",546,199,1.67834106134508,9,"Strength",0.620801548120471,0.0487242447813647,12.7411220205902,0.374619507811846,0.52487538357089,0.716727712670052,"First",1
"SleepyLizards_HRO","Tiliqua rugosa","Indirect","Ectotherm",546,199,1.67834106134508,9,"Strength",0.98945092704969,0.0875330683950203,11.3037386349178,0.319616445893311,0.81712248786733,1.16177936623205,"Last",1
"SoaySheep_HRO","Ovis aries","Indirect","LargeHerbivore",13807,5006,1.77559523809524,34,"Strength",0.722903179205427,0.0202538715129963,35.6920986065089,0.155814267161981,0.683199357878662,0.762607000532192,"First",1
"SoaySheep_HRO","Ovis aries","Indirect","LargeHerbivore",13807,5006,1.77559523809524,34,"Strength",0.331065555784303,0.0191876545802121,17.2540919162536,0.0413494361381478,0.293451847775759,0.368679263792848,"Last",1
"TayDolphins_HRO","Tursiops truncatus","Indirect","Cetacean",201,94,266.297704362715,13,"Strength",0.980968441966046,0.264741606660051,3.70538070816231,0.122884320173285,0.45559733969489,1.5063395442372,"First",1
"TayDolphins_HRO","Tursiops truncatus","Indirect","Cetacean",201,94,266.297704362715,13,"Strength",-0.437618427536905,0.110111595036264,-3.97431739493719,0.13640633571539,-0.656076695948052,-0.219160159125757,"Last",1
"VulturineGuineafowl_HRO","Acryllium vulturinum","Indirect","Bird",3681,49,7.12259910834527,5,"Strength",0.520724094478416,0.0317190112684923,16.4167820387161,0.12788107237117,0.458515009135428,0.582933179821405,"First",1
"VulturineGuineafowl_HRO","Acryllium vulturinum","Indirect","Bird",3681,49,7.12259910834527,5,"Strength",0.511472751824964,0.0439097674912328,11.6482682794229,0.0686761044234386,0.425354540457714,0.597590963192213,"Last",1
"WaterDragons_HRO","Intellagama lesueurii","Indirect","Ectotherm",2376,796,0.0497761406961271,11,"Strength",0.551412075711992,0.0348245640516762,15.8339979473613,0.174506012198038,0.483087457368225,0.619736694055758,"First",1
